Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed42
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed42/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9011 | ori_l2r=10.9014 | model_order=10.9017 | unstructured=10.9011 | rw=10.9013
[attn_traj] fixed 16 attention samples, indices_hash=0xfd22fda5
[attn_traj] heatmaps saved @ step 0 (extraction 0.3s)
Saved checkpoint: runs/handoff_overnight/seed42/ckpt_step0.pt
step  1450-> 1451/10000 | loss=5.1724 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 561s
step  1460-> 1461/10000 | loss=5.1588 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 563s
step  1470-> 1471/10000 | loss=5.2072 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 566s
step  1480-> 1481/10000 | loss=5.2206 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 568s
step  1490-> 1491/10000 | loss=5.2006 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 571s
step  1500-> 1501/10000 | loss=5.1952 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 573s
step  1510-> 1511/10000 | loss=5.0855 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 575s
step  1520-> 1521/10000 | loss=5.0704 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 578s
step  1530-> 1531/10000 | loss=5.1281 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 580s
step  1540-> 1541/10000 | loss=5.0929 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 583s
step  1550-> 1551/10000 | loss=5.1053 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 585s
