setup	sample_idx	sample_id	readiness_strength	asymmetry	row_entropy	top1_mass	top4_mass	argmax_dist	p_nbr_le1	locality_score	local_greedy_dist	directionality	out_degree_std	in_degree_std
text	164	374150	21.527498	0.572791	0.961529	0.063095	0.183419	22.0625	0.03125	0.0	24.31746	0.53125	0.036762	0.011723
text	165	355467	24.773213	0.637577	0.958473	0.063734	0.183602	23.484375	0.0	0.0	22.47619	0.53125	0.065502	0.013216
text	166	37147	26.275194	0.614614	0.961318	0.063368	0.180702	25.171875	0.03125	0.0	22.253968	0.515625	0.059316	0.01144
text	167	247130	21.394518	0.573056	0.963258	0.06063	0.173805	25.65625	0.03125	0.0	22.31746	0.5	0.057412	0.011435
text	168	23854	19.8909	0.56217	0.962467	0.062663	0.176887	22.171875	0.03125	0.0	22.52381	0.53125	0.04358	0.00959
text	169	78230	23.418395	0.592662	0.960212	0.065081	0.181212	23.765625	0.03125	0.0	24.507937	0.5625	0.062187	0.012883
text	170	325761	20.303245	0.573343	0.960214	0.065998	0.183175	22.03125	0.03125	0.0	21.587302	0.5	0.044235	0.010398
text	171	112674	18.777337	0.536976	0.961085	0.065571	0.182163	22.796875	0.03125	0.0	23.0	0.5	0.051751	0.008918
text	172	260386	16.734289	0.508293	0.963232	0.060911	0.175922	22.0625	0.03125	0.0	22.412698	0.546875	0.044009	0.010514
text	173	180244	22.699763	0.592526	0.965889	0.057973	0.169241	25.21875	0.0	0.0	24.079365	0.515625	0.060177	0.012879
text	174	131570	20.325847	0.560976	0.963937	0.060812	0.173128	21.65625	0.015625	0.000481	19.873016	0.546875	0.045102	0.009782
text	175	412090	27.196617	0.623868	0.962541	0.063635	0.178584	25.078125	0.015625	0.0	22.571429	0.5	0.074578	0.011455
text	176	92672	22.153795	0.590532	0.962455	0.060956	0.17586	23.265625	0.046875	0.0	21.190476	0.515625	0.059193	0.012235
text	177	407306	29.426126	0.656027	0.957633	0.065486	0.188243	24.484375	0.0	0.0	22.142857	0.515625	0.066426	0.010553
text	178	237762	24.585296	0.608892	0.961865	0.061774	0.17828	24.515625	0.03125	0.0	21.968254	0.53125	0.053926	0.011818
text	179	417447	20.991849	0.578984	0.959955	0.066379	0.18501	23.15625	0.015625	0.0	21.825397	0.5625	0.04525	0.011124
text	180	187933	31.68295	0.658118	0.961904	0.062956	0.178348	21.046875	0.0	0.028606	21.365079	0.53125	0.071222	0.01257
text	181	135876	25.141785	0.610969	0.961549	0.063519	0.180083	25.71875	0.046875	0.0	23.126984	0.5625	0.068313	0.011484
text	182	232139	23.949974	0.606572	0.95958	0.064928	0.184501	23.078125	0.03125	0.0	23.761905	0.515625	0.064326	0.011601
text	183	12339	21.805111	0.57859	0.959192	0.065501	0.180997	21.0625	0.046875	0.027885	21.730159	0.53125	0.0584	0.011656
text	184	136023	21.729045	0.575219	0.962076	0.062929	0.178368	23.5625	0.015625	0.0	21.888889	0.515625	0.058654	0.011039
text	185	390856	28.560582	0.664056	0.956373	0.068997	0.191693	23.84375	0.03125	0.0	21.904762	0.53125	0.063416	0.0121
text	186	94218	25.468367	0.596319	0.960762	0.063453	0.181417	26.234375	0.015625	0.0	21.825397	0.515625	0.056183	0.011601
text	187	411990	24.74254	0.6081	0.960671	0.063756	0.180476	22.859375	0.03125	0.0	21.68254	0.578125	0.054997	0.011259
text	188	181759	23.095285	0.611198	0.960111	0.066101	0.186472	23.484375	0.015625	0.0	20.571429	0.515625	0.040168	0.010223
text	189	339831	21.133333	0.576581	0.962404	0.06132	0.178323	24.453125	0.015625	0.0	21.52381	0.546875	0.056904	0.01104
text	190	122599	25.520849	0.604887	0.96101	0.065267	0.183175	23.09375	0.046875	0.0	21.539683	0.53125	0.059331	0.010957
text	191	445423	20.429637	0.563719	0.96164	0.062668	0.179021	22.625	0.015625	0.0	23.253968	0.546875	0.054928	0.010511
text	192	214927	24.069517	0.587032	0.961546	0.063937	0.180412	22.640625	0.03125	0.0	21.746032	0.515625	0.05336	0.010913
text	193	98797	21.075442	0.566547	0.961186	0.063885	0.182451	21.40625	0.046875	0.012019	22.444444	0.515625	0.046965	0.009834
text	194	81394	22.305687	0.585087	0.962818	0.060975	0.176954	21.4375	0.0625	0.010577	22.095238	0.546875	0.049202	0.011294
text	195	183502	16.602968	0.531414	0.961272	0.062597	0.18118	20.53125	0.015625	0.052404	22.174603	0.5	0.035869	0.009461
text	196	434702	24.952799	0.608584	0.960712	0.062959	0.179919	23.078125	0.03125	0.0	21.825397	0.5625	0.066283	0.011738
text	197	385858	15.417627	0.484292	0.96329	0.062984	0.177608	23.109375	0.046875	0.0	21.47619	0.53125	0.04236	0.008048
text	198	241325	21.633746	0.569862	0.963801	0.061839	0.177032	24.859375	0.0	0.0	24.095238	0.5	0.048577	0.010476
text	199	256429	20.512366	0.553768	0.963668	0.059145	0.174785	23.578125	0.015625	0.0	22.952381	0.515625	0.055346	0.010292
text	200	312625	22.561604	0.572504	0.964489	0.060035	0.173047	22.578125	0.015625	0.0	21.761905	0.546875	0.060906	0.01077
text	201	417973	20.843348	0.565147	0.961993	0.06261	0.178399	25.21875	0.03125	0.0	22.015873	0.515625	0.055467	0.011418
text	202	270725	21.285537	0.604505	0.957824	0.065845	0.184699	22.609375	0.03125	0.0	21.142857	0.53125	0.046328	0.012183
text	203	296036	28.585737	0.629283	0.959759	0.06645	0.186057	23.25	0.046875	0.0	23.15873	0.609375	0.064554	0.011229
text	204	460097	22.290283	0.572386	0.961109	0.065705	0.18429	22.390625	0.015625	0.0	20.539683	0.53125	0.0396	0.009838
text	205	163756	24.14911	0.617247	0.960243	0.064664	0.183055	23.34375	0.03125	0.0	22.31746	0.5	0.053818	0.011161
text	206	210198	20.61998	0.573156	0.961533	0.064245	0.181683	23.109375	0.046875	0.0	22.793651	0.5	0.044775	0.011807
text	207	400014	22.827671	0.595967	0.962206	0.063454	0.177561	22.609375	0.015625	0.0	22.142857	0.53125	0.049396	0.013162
text	208	434543	25.378187	0.607136	0.96207	0.064198	0.181709	22.96875	0.03125	0.0	20.238095	0.53125	0.056973	0.011607
text	209	331241	18.925639	0.540813	0.964499	0.060184	0.174183	22.484375	0.015625	0.0	20.698413	0.515625	0.05022	0.010609
text	210	114749	20.650474	0.559765	0.960892	0.064686	0.181368	20.84375	0.03125	0.037981	21.793651	0.515625	0.044885	0.011322
text	211	199333	19.296197	0.530323	0.963143	0.063149	0.177462	22.21875	0.015625	0.0	23.603175	0.5	0.050978	0.012266
text	212	384895	25.462624	0.601711	0.960396	0.064668	0.182912	25.921875	0.015625	0.0	24.174603	0.53125	0.058575	0.010313
text	213	14133	22.342105	0.580259	0.96412	0.062731	0.175146	23.9375	0.046875	0.0	22.111111	0.53125	0.059646	0.011611
text	214	420410	27.712148	0.638838	0.959135	0.063311	0.18592	21.40625	0.015625	0.012019	23.333333	0.515625	0.061467	0.012004
text	215	260266	26.214236	0.614597	0.963501	0.060587	0.174575	23.828125	0.015625	0.0	23.0	0.515625	0.07014	0.012363
text	216	124173	24.857579	0.616	0.961166	0.06297	0.182311	21.640625	0.03125	0.001202	21.936508	0.53125	0.056892	0.011123
text	217	20131	22.682383	0.586266	0.962229	0.062715	0.177466	19.171875	0.046875	0.115144	21.603175	0.515625	0.061627	0.009712
text	218	313793	23.688351	0.614615	0.958467	0.067124	0.186618	21.640625	0.03125	0.001202	21.920635	0.546875	0.040858	0.01179
text	219	371500	25.371763	0.626764	0.961244	0.064325	0.181897	22.515625	0.0625	0.0	22.650794	0.53125	0.058527	0.010609
text	220	354009	22.316439	0.578668	0.961365	0.065933	0.182409	23.125	0.046875	0.0	22.809524	0.546875	0.059826	0.012235
text	221	426742	19.424979	0.557523	0.961695	0.063766	0.18096	23.484375	0.046875	0.0	24.269841	0.546875	0.042008	0.012442
text	222	187960	24.9165	0.640764	0.961312	0.065811	0.181783	21.59375	0.015625	0.003365	20.269841	0.546875	0.045875	0.011314
text	223	3820	23.035975	0.590295	0.962481	0.061931	0.177138	23.15625	0.046875	0.0	21.825397	0.515625	0.063161	0.009898
text	224	262193	20.733268	0.574418	0.960584	0.066402	0.187422	24.71875	0.03125	0.0	24.079365	0.515625	0.036746	0.009512
text	225	31880	23.712303	0.621526	0.959716	0.065702	0.183763	25.8125	0.0	0.0	23.301587	0.515625	0.040518	0.012599
text	226	318466	25.114242	0.619804	0.95909	0.06597	0.185288	22.609375	0.03125	0.0	22.825397	0.515625	0.055973	0.010237
text	227	410917	26.101047	0.61842	0.961926	0.066022	0.182191	21.75	0.015625	0.0	24.142857	0.53125	0.05981	0.010866
text	228	1486	28.567965	0.616493	0.961097	0.064513	0.181226	21.03125	0.046875	0.029327	19.857143	0.5625	0.077745	0.012537
text	229	272735	21.92907	0.581202	0.962102	0.0619	0.178266	23.1875	0.046875	0.0	23.412698	0.53125	0.05832	0.011464
text	230	432028	20.825749	0.563671	0.960702	0.065432	0.184538	23.125	0.0	0.0	24.31746	0.5625	0.046693	0.009493
text	231	224428	21.99088	0.600893	0.957839	0.069703	0.189462	23.359375	0.03125	0.0	21.761905	0.5625	0.048465	0.012173
