Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed123
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed123/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.8942 | ori_l2r=10.8922 | model_order=10.8943 | unstructured=10.8942 | rw=10.8941
[attn_traj] fixed 16 attention samples, indices_hash=0xf363957
[attn_traj] heatmaps saved @ step 0 (extraction 0.4s)
Saved checkpoint: runs/handoff_overnight/seed123/ckpt_step0.pt
step  1330-> 1331/10000 | loss=5.1352 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 510s
step  1340-> 1341/10000 | loss=5.1208 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 513s
step  1350-> 1351/10000 | loss=5.0667 | alpha=0.000 | lr=9.98e-04 | 0.25s/step | ETA 35m | total 515s
step  1360-> 1361/10000 | loss=5.1735 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 518s
step  1370-> 1371/10000 | loss=5.0545 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 520s
step  1380-> 1381/10000 | loss=5.1581 | alpha=0.000 | lr=9.98e-04 | 0.25s/step | ETA 35m | total 522s
step  1390-> 1391/10000 | loss=5.0822 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 525s
[Eval @ 1400] alpha=0.0000
[Eval @ 1400] train_obj=5.1007 | ori_l2r=5.0619 | model_order=5.0993 | unstructured=5.1007 | rw=5.1205
step  1400-> 1401/10000 | loss=5.1156 | alpha=0.000 | lr=9.98e-04 | 2.83s/step | ETA 6.8h | total 553s
step  1410-> 1411/10000 | loss=5.0058 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 556s
step  1420-> 1421/10000 | loss=5.0639 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 558s
step  1430-> 1431/10000 | loss=5.0758 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 561s
step  1440-> 1441/10000 | loss=5.1121 | alpha=0.000 | lr=9.98e-04 | 0.25s/step | ETA 35m | total 563s
step  1450-> 1451/10000 | loss=4.9941 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 565s
step  1460-> 1461/10000 | loss=5.0927 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 568s
step  1470-> 1471/10000 | loss=5.0478 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 570s
step  1480-> 1481/10000 | loss=5.0430 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 573s
step  1490-> 1491/10000 | loss=5.0532 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 575s
step  1500-> 1501/10000 | loss=5.1013 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 578s
step  1510-> 1511/10000 | loss=5.1289 | alpha=0.000 | lr=9.98e-04 | 0.25s/step | ETA 35m | total 580s
step  1520-> 1521/10000 | loss=5.0085 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 583s
step  1530-> 1531/10000 | loss=5.0385 | alpha=0.000 | lr=9.98e-04 | 0.25s/step | ETA 35m | total 585s
step  1540-> 1541/10000 | loss=4.9907 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 588s
step  1550-> 1551/10000 | loss=5.0175 | alpha=0.000 | lr=9.98e-04 | 0.25s/step | ETA 35m | total 590s
step  1560-> 1561/10000 | loss=4.9797 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 592s
step  1570-> 1571/10000 | loss=4.9996 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 595s
step  1580-> 1581/10000 | loss=5.0439 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 597s
step  1590-> 1591/10000 | loss=4.9675 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 600s
[Eval @ 1600] alpha=0.0000
[Eval @ 1600] train_obj=4.9859 | ori_l2r=4.9075 | model_order=4.9833 | unstructured=4.9859 | rw=5.0057
step  1600-> 1601/10000 | loss=4.9439 | alpha=0.000 | lr=9.98e-04 | 2.81s/step | ETA 6.6h | total 628s
step  1610-> 1611/10000 | loss=4.9021 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 630s
step  1620-> 1621/10000 | loss=4.9796 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 633s
step  1630-> 1631/10000 | loss=4.9423 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 635s
step  1640-> 1641/10000 | loss=4.9461 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 638s
step  1650-> 1651/10000 | loss=4.9742 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 640s
step  1660-> 1661/10000 | loss=4.9820 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 643s
step  1670-> 1671/10000 | loss=4.9311 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 645s
step  1680-> 1681/10000 | loss=5.0041 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 647s
step  1690-> 1691/10000 | loss=4.9035 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 650s
step  1700-> 1701/10000 | loss=4.9340 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 652s
step  1710-> 1711/10000 | loss=4.9329 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 655s
step  1720-> 1721/10000 | loss=4.9825 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 657s
step  1730-> 1731/10000 | loss=4.9215 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 660s
step  1740-> 1741/10000 | loss=4.9011 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 662s
step  1750-> 1751/10000 | loss=4.9248 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 665s
step  1760-> 1761/10000 | loss=4.8578 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 667s
