Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed2
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed2/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9009 | ori_l2r=10.9008 | model_order=10.9008 | unstructured=10.9009 | rw=10.9008
[attn_traj] fixed 16 attention samples, indices_hash=0x7b01409d
[attn_traj] heatmaps saved @ step 0 (extraction 0.4s)
Saved checkpoint: runs/handoff_overnight/seed2/ckpt_step0.pt
step  1180-> 1181/10000 | loss=5.2853 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 447s
step  1190-> 1191/10000 | loss=5.3750 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 450s
[Eval @ 1200] alpha=0.0000
[Eval @ 1200] train_obj=5.2952 | ori_l2r=5.2160 | model_order=5.2963 | unstructured=5.2952 | rw=5.2797
step  1200-> 1201/10000 | loss=5.2863 | alpha=0.000 | lr=9.99e-04 | 2.81s/step | ETA 6.9h | total 478s
step  1210-> 1211/10000 | loss=5.2881 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 480s
step  1220-> 1221/10000 | loss=5.2270 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 482s
step  1230-> 1231/10000 | loss=5.2770 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 485s
step  1240-> 1241/10000 | loss=5.2827 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 487s
step  1250-> 1251/10000 | loss=5.2584 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 490s
step  1260-> 1261/10000 | loss=5.3251 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 492s
step  1270-> 1271/10000 | loss=5.2237 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 495s
step  1280-> 1281/10000 | loss=5.2819 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 35m | total 497s
step  1290-> 1291/10000 | loss=5.2687 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 35m | total 500s
